provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Taptap Send,AED,GHS,1000,3,3000,,2026-05-17T09:02:02.520Z,true,,suspect,-26.8,3.48,4.71
Taptap Send,AED,INR,1000,25.95,25950,,2026-05-17T09:02:11.737Z,true,,valid,11.4,19.8,26.79
Taptap Send,AED,KES,1000,34.7,34700,,2026-05-17T09:02:14.549Z,true,,valid,-2,30.09,40.71
Taptap Send,AED,MXN,1000,4.68,4680,,2026-05-17T09:02:17.359Z,true,,valid,-11.7,4.5,6.09
Taptap Send,AED,NGN,1000,370,370000,,2026-05-17T09:02:20.169Z,true,,valid,-12.3,316.5,527.5
Taptap Send,AED,PHP,1000,16.2,16200,,2026-05-17T09:02:22.979Z,true,,valid,2.5,13.43,18.17
Taptap Send,AED,PKR,1000,76.4,76400,,2026-05-17T09:02:25.792Z,true,,valid,-0.8,65.45,88.55
Taptap Send,AUD,GHS,1000,8.15,8150,,2026-05-17T09:02:28.602Z,true,,valid,-14.2,8.07,10.92
Taptap Send,AUD,INR,1000,69,69000,,2026-05-17T09:02:32.218Z,true,,suspect,26.6,46.32,62.67
Taptap Send,AUD,KES,1000,90,90000,,2026-05-17T09:02:38.536Z,true,,valid,8.4,70.55,95.45
Taptap Send,AUD,MXN,1000,12.28,12280,,2026-05-17T09:02:41.346Z,true,,valid,-0.2,10.46,14.14
Taptap Send,AUD,NGN,1000,990,990000,,2026-05-17T09:02:44.155Z,true,,valid,1,735,1225
Taptap Send,AUD,PHP,1000,43.7,43700,,2026-05-17T09:02:46.965Z,true,,suspect,18.8,31.28,42.32
Taptap Send,AUD,PKR,1000,200,200000,,2026-05-17T09:02:53.320Z,true,,valid,11.1,153,207
Taptap Send,CAD,GHS,1000,8.28,8280,,2026-05-17T09:02:56.130Z,true,,suspect,-24.7,9.35,12.65
Taptap Send,CAD,INR,1000,70,70000,,2026-05-17T09:03:03.235Z,true,,valid,12,53.13,71.88
Taptap Send,CAD,KES,1000,92,92000,,2026-05-17T09:03:06.045Z,true,,valid,-3.2,80.75,109.25
Taptap Send,CAD,MXN,1000,12.55,12550,,2026-05-17T09:03:08.854Z,true,,valid,-11.6,12.07,16.33
